number,species,locality,host,sex,life_stage,frozen_date,extraction_date,mass_mg,abs1,abs2,abs3,abs4,absAVG,ug,ug_corrected,concen_ug_mg,notes
1,A_alipes,La Selva,P_ambigua,female,adult,19-Sep,11/16/19,43.6,0,0,0,0,0,-0.0300818,0,0,not assimilating cyanide
2,A_alipes,La Selva,P_ambigua,male,adult,19-Sep,11/16/19,35.9,0,0,0,0,0,-0.0300818,0,0,not assimilating cyanide
3,A_alipes,La Selva,P_ambigua,male,adult,19-Sep,11/16/19,40.4,0,0,0,0,0,-0.0300818,0,0,not assimilating cyanide
4,A_alipes,La Selva,P_ambigua,,5,19-Sep,11/16/19,31.7,0,0,0,0,0,-0.0300818,0,0,not assimilating cyanide
5,A_alipes,La Selva,P_ambigua,,3,19-Sep,11/16/19,1.1,0,0,0,0,0,-0.0300818,0,0,not assimilating cyanide
6,A_alipes,La Selva,P_ambigua,,2,19-Sep,11/16/19,1.2,0,0,0,0,0,-0.0300818,0,0,not assimilating cyanide
7,A_alipes,La Selva,P_ambigua,,2,19-Sep,11/16/19,0.9,0,0,0,0,0,-0.0300818,0,0,not assimilating cyanide
8,A_alipes,La Selva,P_ambigua,,2,19-Sep,11/16/19,1,0,0,0,0,0,-0.0300818,0,0,not assimilating cyanide
4,A_alipes,La Selva,P_biflora,,3,2020,8/20/24,61,-0.022,-0.024,-0.022,-0.01,-0.0195,0.06778135,4.8802572,0.080004216,y = 9.1907x + 0.247
6,A_alipes,La Selva,P_auriculata,male,adult,2020,8/20/24,52,-0.004,0,-0.008,0.014,0.0005,0.25159535,18.1148652,0.348362792,y = 9.1907x + 0.247
7,A_alipes,La Selva,P_oerstedii,,3,2020,8/20/24,12.2,-0.023,-0.009,-0.019,0.011,-0.01,0.155093,11.166696,0.915302951,y = 9.1907x + 0.247
5a,A_alipes,La Selva,P_pittieri,,adult,2020,8/17/24,72,0.034,0.026,0.022,0.026,0.027,0.40681,29.29032,0.40681,y = 17.33x-0.0611
5b,A_alipes,La Selva,P_pittieri,,adult,2020,11/11/24,97.4,0.017,0.013,0.013,0.014,0.01425,0.543645,39.14244,0.401873101,y = 38.34x - 0.0027
3,A_alipes,La Selva,P_costaricensis,,,2020,11/11/24,76.7,0.006,0.007,0.007,0.008,0.007,0.26568,19.12896,0.249399739,y = 38.34x - 0.0028
2,A_terminalis,BFL,I_vomitoria?,female,adult,,11/11/24,182,0.015,0.006,0.005,0.009,0.00875,0.332775,23.9598,0.131647253,y = 38.34x - 0.0029
5,A_terminalis,BFL,I_vomitoria?,female,adult,,11/11/24,332,0.081,0.082,0.091,0.082,0.084,3.21786,231.68592,0.697849157,y = 38.34x - 0.0030
6,A_terminalis,BFL,I_vomitoria?,male,adult,,11/11/24,204,0.018,0.018,0.028,0.018,0.0205,0.78327,56.39544,0.276448235,y = 38.34x - 0.0031
1,N_femorata,Goliad,O_engelmannii,,adult,,11/11/24,114,0.032,0.044,0.037,0.035,0.037,1.41588,101.94336,0.89424,y = 38.34x - 0.0032
2,N_femorata,Goliad,O_engelmannii,,adult,,11/11/24,87.1,0.021,0.018,0.018,0.02,0.01925,0.735345,52.94484,0.607862687,y = 38.34x - 0.0033
3,N_femorata,Goliad,O_engelmannii,,adult,,11/11/24,87.3,0.025,0.023,0.028,0.022,0.0245,0.93663,67.43736,0.772478351,y = 38.34x - 0.0034
1,C_vittiger,Mad Island WMA,O_engelmannii,,nymph,,11/11/24,33.8,0.005,0.003,0,0.008,0.004,0.15066,10.84752,0.320932544,y = 38.34x - 0.0035
2,C_vittiger,Mad Island WMA,O_engelmannii,,nymph,,11/11/24,13.1,0.005,0,0.006,0.007,0.0045,0.16983,12.22776,0.933416794,y = 38.34x - 0.0036
3,C_vittiger,Mad Island WMA,O_engelmannii,,nymph,,11/11/24,10.3,0.001,0.001,0.001,0.001,0.001,0.03564,2.56608,0.249133981,y = 38.34x - 0.0037
